iter	Passed	Remaining
1531	28205	63849
1532	28219	63819
1533	28233	63791
1534	28247	63764
1535	28270	63755
1536	28286	63732
1537	28302	63709
1538	28318	63684
1539	28343	63680
1540	28359	63657
1541	28377	63636
1542	28391	63610
1543	28411	63593
1544	28428	63572
1545	28443	63546
1546	28462	63530
1547	28478	63505
1548	28500	63495
1549	28515	63469
1550	28531	63446
1551	28550	63428
1552	28569	63411
1553	28587	63391
1554	28603	63368
1555	28618	63343
1556	28637	63326
1557	28653	63303
1558	28669	63279
1559	28685	63255
1560	28699	63228
1561	28714	63201
1562	28731	63179
1563	28751	63164
1564	28766	63139
1565	28781	63113
1566	28795	63085
1567	28814	63067
1568	28828	63039
1569	28847	63022
1570	28870	63014
1571	28884	62986
1572	28903	62969
1573	28921	62952
1574	28938	62930
1575	28952	62901
1576	28967	62876
1577	28981	62848
1578	28997	62823
1579	29013	62801
1580	29028	62776
1581	29044	62751
1582	29060	62728
1583	29078	62709
1584	29095	62688
1585	29115	62672
1586	29194	62786
1587	29208	62758
1588	29251	62793
1589	29272	62778
1590	29286	62750
1591	29301	62725
1592	29319	62707
1593	29336	62684
1594	29352	62661
1595	29394	62693
1596	29414	62679
1597	29431	62657
1598	29456	62651
1599	29474	62633
1600	29495	62619
1601	29510	62594
1602	29526	62570
1603	29544	62550
1604	29561	62529
1605	29580	62513
1606	29598	62493
1607	29612	62466
1608	29629	62445
1609	29646	62422
1610	29660	62396
1611	29679	62378
1612	29698	62362
1613	29714	62338
1614	29731	62315
1615	29748	62294
1616	29765	62272
1617	29781	62250
1618	29796	62225
1619	29825	62227
1620	29851	62226
1621	29865	62198
1622	29883	62178
1623	29901	62159
1624	29915	62133
1625	29951	62150
1626	29978	62150
1627	30001	62139
1628	30020	62124
1629	30040	62108
1630	30061	62096
1631	30078	62074
1632	30092	62045
1633	30106	62019
1634	30120	61991
1635	30135	61965
1636	30149	61938
1637	30163	61911
1638	30179	61887
1639	30195	61864
1640	30243	61906
1641	30257	61879
1642	30285	61879
1643	30303	61861
1644	30318	61834
1645	30335	61812
1646	30350	61788
1647	30366	61765
1648	30383	61743
1649	30410	61742
1650	30434	61734
1651	30448	61707
1652	30469	61695
1653	30487	61675
1654	30506	61657
1655	30523	61636
1656	30546	61627
1657	30568	61616
1658	30585	61595
1659	30603	61576
1660	30619	61551
1661	30638	61535
1662	30654	61512
1663	30673	61494
